"ORIGIN_STATE_ABR","DEST_STATE_ABR","ORIGIN_LAT","ORIGIN_LONG","DEST_LAT","DEST_LONG","GROUP"
"AK","WA",63.588753,-154.493062,47.751074,-120.740139,1
"AK","AK",63.588753,-154.493062,63.588753,-154.493062,1
"AL","TX",32.318231,-86.902298,31.968599,-99.901813,2
"AL","NC",32.318231,-86.902298,35.759573,-79.0193,2
"AL","GA",32.318231,-86.902298,32.157435,-82.907123,2
"AR","TX",35.20105,-91.831833,31.968599,-99.901813,3
"AR","IL",35.20105,-91.831833,40.633125,-89.398528,3
"AR","GA",35.20105,-91.831833,32.157435,-82.907123,3
"AZ","CO",34.048928,-111.093731,39.550051,-105.782067,4
"AZ","CA",34.048928,-111.093731,36.778261,-119.417932,4
"AZ","WA",34.048928,-111.093731,47.751074,-120.740139,4
"AZ","TX",34.048928,-111.093731,31.968599,-99.901813,4
"AZ","AZ",34.048928,-111.093731,34.048928,-111.093731,4
"AZ","ND",34.048928,-111.093731,47.551493,-101.002012,4
"AZ","SD",34.048928,-111.093731,43.969515,-99.901813,4
"AZ","UT",34.048928,-111.093731,39.32098,-111.093731,4
"CA","AZ",36.778261,-119.417932,34.048928,-111.093731,5
"CA","CA",36.778261,-119.417932,36.778261,-119.417932,5
"CA","NV",36.778261,-119.417932,38.80261,-116.419389,5
"CA","NY",36.778261,-119.417932,43.299428,-74.217933,5
"CA","WA",36.778261,-119.417932,47.751074,-120.740139,5
"CO","NV",39.550051,-105.782067,38.80261,-116.419389,6
"CO","CA",39.550051,-105.782067,36.778261,-119.417932,6
"CO","AZ",39.550051,-105.782067,34.048928,-111.093731,6
"CO","TX",39.550051,-105.782067,31.968599,-99.901813,6
"CO","UT",39.550051,-105.782067,39.32098,-111.093731,6
"CO","CO",39.550051,-105.782067,39.550051,-105.782067,6
"CO","IL",39.550051,-105.782067,40.633125,-89.398528,6
"CT","FL",41.603221,-73.087749,27.664827,-81.515754,7
"CT","GA",41.603221,-73.087749,32.157435,-82.907123,7
"CT","IL",41.603221,-73.087749,40.633125,-89.398528,7
"CT","NC",41.603221,-73.087749,35.759573,-79.0193,7
"CT","PA",41.603221,-73.087749,41.203322,-77.194525,7
"FL","GA",27.664827,-81.515754,32.157435,-82.907123,8
"FL","MD",27.664827,-81.515754,39.045755,-76.641271,8
"FL","PA",27.664827,-81.515754,41.203322,-77.194525,8
"FL","IL",27.664827,-81.515754,40.633125,-89.398528,8
"FL","TX",27.664827,-81.515754,31.968599,-99.901813,8
"FL","NJ",27.664827,-81.515754,40.058324,-74.405661,8
"GA","FL",32.157435,-82.907123,27.664827,-81.515754,9
"GA","IL",32.157435,-82.907123,40.633125,-89.398528,9
"GA","NC",32.157435,-82.907123,35.759573,-79.0193,9
"GA","TX",32.157435,-82.907123,31.968599,-99.901813,9
"GA","GA",32.157435,-82.907123,32.157435,-82.907123,9
"HI","HI",19.898682,-155.665857,19.898682,-155.665857,10
"HI","CA",19.898682,-155.665857,36.778261,-119.417932,10
"HI","WA",19.898682,-155.665857,47.751074,-120.740139,10
"IA","IL",41.878003,-93.097702,40.633125,-89.398528,11
"IA","TX",41.878003,-93.097702,31.968599,-99.901813,11
"IA","CO",41.878003,-93.097702,39.550051,-105.782067,11
"IA","MN",41.878003,-93.097702,46.729553,-94.6859,11
"ID","CO",44.068202,-114.742041,39.550051,-105.782067,12
"ID","UT",44.068202,-114.742041,39.32098,-111.093731,12
"ID","WA",44.068202,-114.742041,47.751074,-120.740139,12
"ID","CA",44.068202,-114.742041,36.778261,-119.417932,12
"ID","AZ",44.068202,-114.742041,34.048928,-111.093731,12
"IL","GA",40.633125,-89.398528,32.157435,-82.907123,13
"IL","CO",40.633125,-89.398528,39.550051,-105.782067,13
"IL","NV",40.633125,-89.398528,38.80261,-116.419389,13
"IL","IL",40.633125,-89.398528,40.633125,-89.398528,13
"IL","NY",40.633125,-89.398528,43.299428,-74.217933,13
"IL","TX",40.633125,-89.398528,31.968599,-99.901813,13
"IL","NC",40.633125,-89.398528,35.759573,-79.0193,13
"IN","GA",40.551217,-85.602364,32.157435,-82.907123,14
"IN","CO",40.551217,-85.602364,39.550051,-105.782067,14
"IN","IL",40.551217,-85.602364,40.633125,-89.398528,14
"IN","MI",40.551217,-85.602364,44.314844,-85.602364,14
"KS","TX",39.011902,-98.484246,31.968599,-99.901813,15
"KS","CO",39.011902,-98.484246,39.550051,-105.782067,15
"KS","KS",39.011902,-98.484246,39.011902,-98.484246,15
"KS","IL",39.011902,-98.484246,40.633125,-89.398528,15
"KY","TX",37.839333,-84.270018,31.968599,-99.901813,16
"KY","IL",37.839333,-84.270018,40.633125,-89.398528,16
"KY","NC",37.839333,-84.270018,35.759573,-79.0193,16
"KY","GA",37.839333,-84.270018,32.157435,-82.907123,16
"KY","MI",37.839333,-84.270018,44.314844,-85.602364,16
"LA","GA",31.244823,-92.145024,32.157435,-82.907123,17
"LA","TX",31.244823,-92.145024,31.968599,-99.901813,17
"MA","PA",42.407211,-71.382437,41.203322,-77.194525,18
"MA","MI",42.407211,-71.382437,44.314844,-85.602364,18
"MA","IL",42.407211,-71.382437,40.633125,-89.398528,18
"MA","VA",42.407211,-71.382437,37.431573,-78.656894,18
"MA","NY",42.407211,-71.382437,43.299428,-74.217933,18
"MA","FL",42.407211,-71.382437,27.664827,-81.515754,18
"MD","GA",39.045755,-76.641271,32.157435,-82.907123,19
"MD","NC",39.045755,-76.641271,35.759573,-79.0193,19
"MD","FL",39.045755,-76.641271,27.664827,-81.515754,19
"MD","SC",39.045755,-76.641271,33.836081,-81.163725,19
"ME","MD",45.253783,-69.445469,39.045755,-76.641271,20
"ME","VA",45.253783,-69.445469,37.431573,-78.656894,20
"ME","MI",45.253783,-69.445469,44.314844,-85.602364,20
"ME","IL",45.253783,-69.445469,40.633125,-89.398528,20
"ME","PA",45.253783,-69.445469,41.203322,-77.194525,20
"ME","NC",45.253783,-69.445469,35.759573,-79.0193,20
"MI","IL",44.314844,-85.602364,40.633125,-89.398528,21
"MI","TX",44.314844,-85.602364,31.968599,-99.901813,21
"MI","MI",44.314844,-85.602364,44.314844,-85.602364,21
"MI","GA",44.314844,-85.602364,32.157435,-82.907123,21
"MI","CO",44.314844,-85.602364,39.550051,-105.782067,21
"MN","CO",46.729553,-94.6859,39.550051,-105.782067,22
"MN","IL",46.729553,-94.6859,40.633125,-89.398528,22
"MN","GA",46.729553,-94.6859,32.157435,-82.907123,22
"MN","MN",46.729553,-94.6859,46.729553,-94.6859,22
"MO","GA",37.964253,-91.831833,32.157435,-82.907123,23
"MO","CO",37.964253,-91.831833,39.550051,-105.782067,23
"MO","TX",37.964253,-91.831833,31.968599,-99.901813,23
"MO","IL",37.964253,-91.831833,40.633125,-89.398528,23
"MS","TX",32.354668,-89.398528,31.968599,-99.901813,24
"MS","NC",32.354668,-89.398528,35.759573,-79.0193,24
"MS","GA",32.354668,-89.398528,32.157435,-82.907123,24
"MT","CO",46.879682,-110.362566,39.550051,-105.782067,25
"MT","UT",46.879682,-110.362566,39.32098,-111.093731,25
"MT","MN",46.879682,-110.362566,46.729553,-94.6859,25
"MT","TX",46.879682,-110.362566,31.968599,-99.901813,25
"NC","GA",35.759573,-79.0193,32.157435,-82.907123,26
"NC","NC",35.759573,-79.0193,35.759573,-79.0193,26
"NC","IL",35.759573,-79.0193,40.633125,-89.398528,26
"NC","FL",35.759573,-79.0193,27.664827,-81.515754,26
"NC","NY",35.759573,-79.0193,43.299428,-74.217933,26
"ND","IL",47.551493,-101.002012,40.633125,-89.398528,27
"ND","MN",47.551493,-101.002012,46.729553,-94.6859,27
"ND","CO",47.551493,-101.002012,39.550051,-105.782067,27
"ND","TX",47.551493,-101.002012,31.968599,-99.901813,27
"ND","AZ",47.551493,-101.002012,34.048928,-111.093731,27
"NE","CO",41.492537,-99.901813,39.550051,-105.782067,28
"NE","TX",41.492537,-99.901813,31.968599,-99.901813,28
"NE","IL",41.492537,-99.901813,40.633125,-89.398528,28
"NE","MN",41.492537,-99.901813,46.729553,-94.6859,28
"NE","NV",41.492537,-99.901813,38.80261,-116.419389,28
"NE","AZ",41.492537,-99.901813,34.048928,-111.093731,28
"NH","MD",43.193852,-71.572395,39.045755,-76.641271,29
"NH","FL",43.193852,-71.572395,27.664827,-81.515754,29
"NH","NC",43.193852,-71.572395,35.759573,-79.0193,29
"NH","SC",43.193852,-71.572395,33.836081,-81.163725,29
"NJ","FL",40.058324,-74.405661,27.664827,-81.515754,30
"NJ","GA",40.058324,-74.405661,32.157435,-82.907123,30
"NM","CO",34.97273,-105.032363,39.550051,-105.782067,31
"NM","AZ",34.97273,-105.032363,34.048928,-111.093731,31
"NM","TX",34.97273,-105.032363,31.968599,-99.901813,31
"NV","CO",38.80261,-116.419389,39.550051,-105.782067,32
"NV","NV",38.80261,-116.419389,38.80261,-116.419389,32
"NV","AZ",38.80261,-116.419389,34.048928,-111.093731,32
"NV","CA",38.80261,-116.419389,36.778261,-119.417932,32
"NV","WA",38.80261,-116.419389,47.751074,-120.740139,32
"NV","UT",38.80261,-116.419389,39.32098,-111.093731,32
"NY","MD",43.299428,-74.217933,39.045755,-76.641271,33
"NY","GA",43.299428,-74.217933,32.157435,-82.907123,33
"NY","IL",43.299428,-74.217933,40.633125,-89.398528,33
"NY","CA",43.299428,-74.217933,36.778261,-119.417932,33
"NY","MA",43.299428,-74.217933,42.407211,-71.382437,33
"NY","NY",43.299428,-74.217933,43.299428,-74.217933,33
"OH","GA",40.417287,-82.907123,32.157435,-82.907123,34
"OH","IL",40.417287,-82.907123,40.633125,-89.398528,34
"OH","NC",40.417287,-82.907123,35.759573,-79.0193,34
"OH","TX",40.417287,-82.907123,31.968599,-99.901813,34
"OH","MI",40.417287,-82.907123,44.314844,-85.602364,34
"OK","CO",35.007752,-97.092877,39.550051,-105.782067,35
"OK","TX",35.007752,-97.092877,31.968599,-99.901813,35
"OR","CO",43.804133,-120.554201,39.550051,-105.782067,36
"OR","CA",43.804133,-120.554201,36.778261,-119.417932,36
"OR","WA",43.804133,-120.554201,47.751074,-120.740139,36
"OR","UT",43.804133,-120.554201,39.32098,-111.093731,36
"PA","GA",41.203322,-77.194525,32.157435,-82.907123,37
"PA","FL",41.203322,-77.194525,27.664827,-81.515754,37
"PA","IL",41.203322,-77.194525,40.633125,-89.398528,37
"PA","NC",41.203322,-77.194525,35.759573,-79.0193,37
"PA","MA",41.203322,-77.194525,42.407211,-71.382437,37
"PA","MI",41.203322,-77.194525,44.314844,-85.602364,37
"PR","FL",18.220833,-66.590149,27.664827,-81.515754,38
"PR","NY",18.220833,-66.590149,43.299428,-74.217933,38
"RI","MD",41.580095,-71.477429,39.045755,-76.641271,39
"RI","VA",41.580095,-71.477429,37.431573,-78.656894,39
"RI","FL",41.580095,-71.477429,27.664827,-81.515754,39
"SC","MD",33.836081,-81.163725,39.045755,-76.641271,40
"SC","GA",33.836081,-81.163725,32.157435,-82.907123,40
"SC","TX",33.836081,-81.163725,31.968599,-99.901813,40
"SC","NC",33.836081,-81.163725,35.759573,-79.0193,40
"SC","PA",33.836081,-81.163725,41.203322,-77.194525,40
"SD","IL",43.969515,-99.901813,40.633125,-89.398528,41
